Company Name,Country,Sector,Subsector,Overall ESG RATING,Overall ESG SCORE,Environmental SCORE,Social SCORE,Governance SCORE
"GREAT-WEST LIFECO US FINANCE 2020, LP",US,Life & Health Insurance,Life & Health Insurance,A,6.6,8.2,5.3,4.9
GREATBATCH LTD,US,Health Care Equipment & Supplies,Health Care Equipment,BBB,5.5,6.3,5.8,5
GREATER SOUTHWESTERN FUNDING CORPORATION,US,Investment Banking & Brokerage,Diversified Capital Markets,AA,8.57,10,6.4,6.2
GREATER TORONTO AIRPORTS AUTHORITY,CA,Transportation Infrastructure,,AA,8.5,8.8,6.3,7.3
"GREE,Inc",JP,Interactive Media & Services,Interactive Media & Services,BBB,4.6,6.7,4,3.8
GREEK ORGANISATION OF FOOTBALL PROGNOSTICS SA,GR,Casinos & Gaming,Casinos & Gaming,AA,8.57,5.7,7.6,5.9
"GREEN BRICK PARTNERS, INC",US,Real Estate Development & Diversified Activities,Homebuilding,BBB,5.4,3.3,4.5,5.7
GREEN DOT CORPORATION,US,Consumer Finance,Consumer Finance,BBB,4.6,6.7,3.6,5.2
GREEN INFRA CORPORATE SOLAR LIMITED,IN,Utilities,Multi-Utilities,A,6.6,6.2,2.2,6.2
GREEN INFRA WIND ENERGY LIMITED,IN,Utilities,Multi-Utilities,A,6.6,6.2,2.2,6.2
GREEN INFRA WIND FARM ASSETS LIMITED,IN,Utilities,Multi-Utilities,A,6.6,6.2,2.2,6.2
GREEN INFRA WIND POWER GENERATION LIMITED,IN,Utilities,Multi-Utilities,A,6.6,6.2,2.2,6.2
GREEN PLAINS INC,US,"Oil & Gas Refining, Marketing, Transportation & Storage",Oil & Gas Refining & Marketing,BB,4.2,4.6,4,4.4
GREEN PLAINS OPERATING COMPANY LLC,US,"Oil & Gas Refining, Marketing, Transportation & Storage",Oil & Gas Storage & Transportation,BB,4.2,4.6,4,4.4
GREENBRIER LEASING COMPANY LLC,US,Construction & Farm Machinery & Heavy Trucks,Construction Machinery & Heavy Trucks,BB,3.8,2.6,5.6,5.1
GREENBRIER MAXION - EQUIPAMENTOS E SERVICOS FERROVIARIOS SA,BR,Construction & Farm Machinery & Heavy Trucks,Construction Machinery & Heavy Trucks,BB,3.8,2.6,5.6,5.1
GREENCORE GROUP PUBLIC LIMITED COMPANY,IE,Food Products,Packaged Foods & Meats,AA,7.3,3,5.5,7.1
GREENE KING LEASING NO1 LIMITED,GB,Real Estate Development & Diversified Activities,Restaurants,BBB,4.9,5.5,4.8,3
"GREENHILL & CO, INC",US,Investment Banking & Brokerage,Investment Banking & Brokerage,B,2.1,2,1.9,5.9
GREENLAND GLOBAL INVESTMENT LIMITED,CN,Real Estate Development & Diversified Activities,Real Estate Development,BB,2.9,4.6,2.8,2.8
GREENLAND HONG KONG HOLDINGS LIMITED,CN,Real Estate Development & Diversified Activities,Real Estate Development,B,2.2,4.5,2.2,3.2
GREENTOWN CHINA HOLDINGS LIMITED,CN,Real Estate Development & Diversified Activities,Real Estate Development,BB,3.9,5.4,2.9,4.2
GREENYARD NV,BE,Food Products,Packaged Foods & Meats,A,6.8,3.4,6.3,6
GREGGS PLC,GB,Restaurants,Restaurants,A,7.1,2.9,3.8,8
"GREIF, INC",US,Containers & Packaging,Metal & Glass Containers,A,6.1,7.5,4.8,3.5
"GRENERGY RENOVABLES, SA",ES,Utilities,Renewable Electricity,A,6.7,7.7,6,7.3
GRENKE AG,DE,Diversified Financials,Specialized Finance,A,6.9,8,4.7,4.7
